document_ID,firm_ID,time_of_earning_call
453.F,ADSK,2015 Q1
454.F,ADSK,2015 Q2
455.F,ADSK,2015 Q3
456.F,ADSK,2015 Q4
457.F,ADSK,2016 Q1
458.F,ADSK,2016 Q2
459.F,ADSK,2016 Q3
460.F,ADSK,2016 Q4
461.F,ADSK,2017 Q1
462.F,ADSK,2017 Q2
463.F,ADSK,2017 Q3
464.F,ADSK,2017 Q4
465.F,ADSK,2018 Q2
466.F,ADSK,2018 Q3
467.F,ADSK,2018 Q4
468.F,ADSK,2019 Q1
469.F,ADSK,2019 Q2
470.F,ADSK,2019 Q3
471.F,ADSK,2019 Q4
472.F,ADSK,2020 Q1
473.F,ADSK,2020 Q2
474.F,ADSK,2020 Q3
475.F,ADSK,2020 Q4
476.F,ADSK,2021 Q1
477.F,ADSK,2021 Q2
478.F,ADSK,2021 Q3
479.F,ADSK,2021 Q4
480.F,ADSK,2022 Q1
481.F,ADSK,2022 Q2
482.F,ADSK,2022 Q3
483.F,ADSK,2022 Q4
484.F,ADSK,2023 Q1
485.F,ADSK,2023 Q2
486.F,ADSK,2023 Q3
487.F,ADSK,2023 Q4
488.F,AEE,2013 Q1
489.F,AEE,2013 Q2
490.F,AEE,2013 Q3
491.F,AEE,2013 Q4
492.F,AEE,2014 Q1
493.F,AEE,2014 Q2
494.F,AEE,2014 Q3
495.F,AEE,2014 Q4
496.F,AEE,2015 Q1
497.F,AEE,2015 Q2
498.F,AEE,2015 Q3
499.F,AEE,2015 Q4
500.F,AEE,2016 Q1
501.F,AEE,2016 Q2
502.F,AEE,2016 Q3
503.F,AEE,2016 Q4
504.F,AEE,2017 Q1
505.F,AEE,2017 Q2
506.F,AEE,2017 Q3
507.F,AEE,2017 Q4
508.F,AEE,2018 Q1
509.F,AEE,2018 Q2
510.F,AEE,2018 Q3
511.F,AEE,2018 Q4
512.F,AEE,2019 Q1
513.F,AEE,2019 Q2
514.F,AEE,2019 Q3
515.F,AEE,2019 Q4
516.F,AEE,2020 Q1
517.F,AEE,2020 Q2
518.F,AEE,2020 Q3
519.F,AEE,2020 Q4
520.F,AEE,2021 Q1
521.F,AEE,2021 Q2
522.F,AEE,2021 Q3
523.F,AEE,2021 Q4
524.F,AEE,2022 Q1
525.F,AEE,2022 Q2
526.F,AEE,2022 Q3
527.F,AEE,2022 Q4
528.F,AEE,2023 Q1
529.F,AEE,2023 Q2
530.F,AEE,2023 Q3
531.F,AEE,2023 Q4
532.F,AEP,2013 Q1
533.F,AEP,2013 Q2
534.F,AEP,2013 Q3
535.F,AEP,2013 Q4
536.F,AEP,2014 Q1
537.F,AEP,2014 Q2
538.F,AEP,2014 Q3
539.F,AEP,2014 Q4
540.F,AEP,2015 Q1
541.F,AEP,2015 Q2
542.F,AEP,2015 Q3
543.F,AEP,2015 Q4
544.F,AEP,2016 Q1
545.F,AEP,2016 Q2
546.F,AEP,2016 Q3
547.F,AEP,2016 Q4
548.F,AEP,2017 Q1
549.F,AEP,2017 Q2
550.F,AEP,2017 Q3
551.F,AEP,2017 Q4
552.F,AEP,2018 Q1
553.F,AEP,2018 Q2
554.F,AEP,2018 Q3
555.F,AEP,2018 Q4
556.F,AEP,2019 Q1
557.F,AEP,2019 Q2
558.F,AEP,2019 Q3
559.F,AEP,2019 Q4
560.F,AEP,2020 Q1
561.F,AEP,2020 Q2
562.F,AEP,2020 Q3
563.F,AEP,2020 Q4
564.F,AEP,2021 Q1
565.F,AEP,2021 Q2
566.F,AEP,2021 Q3
567.F,AEP,2021 Q4
568.F,AEP,2022 Q1
569.F,AEP,2022 Q2
570.F,AEP,2022 Q3
571.F,AEP,2022 Q4
572.F,AEP,2023 Q1
573.F,AEP,2023 Q2
574.F,AEP,2023 Q3
